기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대6_생활인구_비율,주간_생활인구_수,야간_생활인구_수,주중_생활인구_수,주말_생활인구_수
2022,1,발달상권,2120190,강남을지병원,0.0927296419660076,855578,428126,1188516,343238
2022,1,발달상권,2120224,수서역,0.10464896692314024,111640,59458,159047,47471
2022,1,발달상권,2120222,삼성역,0.06512680040863522,584506,230575,738276,152495
2022,1,발달상권,2120205,매봉역,0.09423867727201582,314820,159258,436381,125849
2022,1,발달상권,2120214,영동대교남단교차로,0.09363664114874268,144445,71861,194291,57952
2022,1,전통시장,2130303,영동전통시장,0.11571976490714936,178790,121749,272091,90319
2022,1,발달상권,2120203,강남구청역,0.09897541245888211,856558,458638,1224414,338166
2022,1,발달상권,2120217,대치사거리,0.1030661831006814,712171,417889,1033092,368717
2022,1,발달상권,2120193,도산공원교차로,0.08030769824475646,371960,173683,491140,130770
2022,1,발달상권,2120207,선정릉역,0.10577954428221809,872010,468623,1279751,404931
2022,1,발달상권,2120192,뱅뱅사거리,0.10006734980931738,902857,449126,1293173,351970
2022,1,발달상권,2120188,압구정역,0.08372593860669342,1111519,583364,1454321,458751
2022,1,발달상권,2120204,르네상스호텔사거리,0.09351886973130111,766368,354937,1079079,262832
2022,1,발달상권,2120198,구역삼세무서,0.10902868349243146,1052584,557918,1595615,499109
2022,1,골목상권,2110974,언주중학교,0.12133197162245923,289505,172853,459258,163488
2022,1,골목상권,2110984,포이초등학교(개포목련어린이공원),0.11605586049570545,464418,246596,794638,321431
2022,1,골목상권,2110976,언북초등학교,0.11792363594416888,307048,179385,469801,180376
2022,1,골목상권,2110959,신구중학교,0.07856332090157289,30010,14309,36898,12438
2022,1,골목상권,2110967,역삼역 8번,0.10525824952981955,333521,173171,493715,149654
2022,1,골목상권,2110996,대치2동주민센터,0.1191556965033396,387757,267314,591532,237459
2022,2,발달상권,2120191,학동역,0.09507743439034394,1047327,512152,1471752,415392
2022,2,발달상권,2120217,대치사거리,0.10411063934855856,692667,412756,1015381,369732
2022,2,골목상권,2110951,신사은행나무공원,0.12083703982959093,258613,161478,405388,133081
2022,2,골목상권,2110996,대치2동주민센터,0.12002364098280353,369872,265344,574296,236161
2022,2,골목상권,2110963,역삼월드메르디앙아파트,0.12431105492373966,174121,104288,284317,96157
2022,2,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",0.10203812052167638,333182,182281,472194,148575
2022,2,발달상권,2120219,은마아파트,0.1183491595974548,498588,392276,718598,337977
2022,2,발달상권,2120218,코엑스,0.05863559096401581,32510,13379,37162,11667
2022,2,골목상권,2110974,언주중학교,0.11838923854829028,301797,174707,482014,166077
2022,2,골목상권,2110984,포이초등학교(개포목련어린이공원),0.11398885204364075,462959,240146,794240,307664
2022,2,골목상권,2110972,강남세브란스병원미래의학연구센터,0.10708499736267048,158247,74654,236380,82125
2022,2,골목상권,2110957,언북중학교,0.08997097162613853,564734,253796,800680,200066
2022,2,골목상권,2110967,역삼역 8번,0.1039920052873859,363530,185798,534364,157090
2022,2,골목상권,2110949,한남IC,0.10507109140921118,197127,116574,282759,100057
2022,2,발달상권,2120210,선릉역,0.09588218988970106,2794959,1418480,3943263,1038925
2022,2,발달상권,2120208,청담사거리(청담동명품거리),0.10274769459848344,836673,443680,1167315,408222
2022,2,발달상권,2120222,삼성역,0.06189097262734613,704710,256455,868176,172317
2022,2,발달상권,2120195,성수대교남단,0.10841046003523011,551773,342853,757399,270133
2022,2,발달상권,2120188,압구정역,0.08729499879173896,1171126,623844,1524676,490616
2022,2,발달상권,2120196,서울세관,0.09701253011386131,440897,215966,631282,169428
2022,2,발달상권,2120198,구역삼세무서,0.10708682670085527,1053460,549755,1597367,477396
2022,2,관광특구,1001496,강남 마이스 관광특구,0.05897491086384862,71464,28898,83093,23768
2022,2,골목상권,2110961,언주역 3번,0.10451372544517284,542463,274192,802721,242491
2022,2,골목상권,2110995,봉은사역 4번,0.12546980829853635,232075,138106,364472,143714
2022,2,골목상권,2110952,논현목련공원,0.12149714057792127,82536,49420,134019,51507
2022,2,발달상권,2120207,선정릉역,0.10328673900408247,902632,473792,1320006,403953
2022,2,발달상권,2120194,언주역(차병원),0.09479184141647332,964296,467254,1343246,379457
2022,2,발달상권,2120220,대치역,0.10787550989813872,265594,189787,354912,152051
2022,2,골목상권,2110976,언북초등학교,0.115417750292225,353601,200217,536069,205656
2022,2,골목상권,2110965,언주역 6번,0.10245282070288705,462316,230758,652451,202853
2022,2,골목상권,2110992,도곡초등학교,0.13154225918941798,793264,616891,1319290,605180
2022,2,골목상권,2110960,은광여고,0.09659428259959704,55295,25988,77289,25451
2022,2,발달상권,2120215,포스코사거리,0.08403223973605875,1880640,817423,2565434,584964
2022,2,발달상권,2120221,봉은사역,0.07878290943303005,235242,99397,300484,80029
2022,2,발달상권,2120212,한티역,0.11193500084784001,535317,370531,734680,309151
2022,2,발달상권,2120205,매봉역,0.09735837171764891,341530,176652,472859,136766
2022,2,골목상권,2111002,한국교통안전공단 강남자동차검사소,0.036616161616161616,1896,480,1767,609
2022,2,골목상권,2110999,윗방죽마을공원,0.13703808854952707,29756,20601,48342,18582
2022,2,골목상권,2110985,청담근린공원,0.10238678866513112,105697,53850,139941,49350
2022,2,골목상권,2110959,신구중학교,0.08453837597330367,36697,17863,45678,15454
2022,2,발달상권,2120197,역삼역,0.0810195293522524,2280158,996888,3120988,623171
2022,2,발달상권,2120193,도산공원교차로,0.08454787339660855,406210,191696,538617,141269
2022,2,발달상권,2120199,경복아파트교차로,0.09708529439054253,302886,150669,424825,124834
2022,2,발달상권,2120216,경기고교사거리(경기고교앞사거리),0.08539560467544373,121662,53985,151586,44762
2022,2,전통시장,2130310,강남개포시장,0.08942708532527632,119871,65515,151295,57881
2022,2,전통시장,2130303,영동전통시장,0.13025433263637726,196829,144016,312460,101721
2022,2,골목상권,2110997,대청초등학교,0.13287539561360795,863307,583037,1412903,556507
2022,2,골목상권,2110975,매봉역 1번,0.10577207555757852,183187,102899,259603,91916
2022,2,골목상권,2110989,대치동아우편취급국,0.10095808400547641,349771,194015,526175,165521
2022,2,발달상권,2120203,강남구청역,0.09965321974080074,913252,488652,1310718,348545
2022,2,발달상권,2120224,수서역,0.10337287929708061,122631,62359,172680,49591
2022,2,골목상권,2110955,논현초등학교,0.11561573296387834,1394943,789801,2154891,800815
2022,2,골목상권,2110958,역삼역 4번,0.08312446334890139,240636,108011,323148,79813
2022,2,골목상권,2110981,국악고교사거리,0.13108083593769734,195356,133064,316502,118986
2022,2,골목상권,2110977,논현로18길,0.1215069343821155,73989,44049,114956,39638
2022,2,골목상권,2110982,강남구보훈회관,0.11708737295905429,91398,52725,145236,59818
2022,2,골목상권,2110971,선정릉역 4번,0.10670686963830667,334981,170378,505959,168618
2022,2,골목상권,2110994,개포고등학교,0.10855410070080683,231833,115235,350605,128560
2022,2,발달상권,2120185,논현역,0.10883104500968828,1350905,782621,1995694,601257
2022,2,발달상권,2120223,휘문고교사거리,0.06660581958841298,153189,56114,189036,41050
2022,2,발달상권,2120190,강남을지병원,0.09368522052433713,887035,445725,1242113,349343
2022,2,발달상권,2120192,뱅뱅사거리,0.09900768642350885,942729,465633,1351205,352186
2022,2,발달상권,2120186,가로수길,0.10119672438384224,1198359,748983,1678135,594902
2022,2,발달상권,2120202,압구정로데오역(압구정로데오),0.10776815890586645,1241131,763264,1686279,596735
2022,2,발달상권,2120214,영동대교남단교차로,0.09589035704023836,145897,73068,194802,59259
2022,2,골목상권,2110983,국립국악고등학교,0.12502012733531487,207883,131632,333446,126131
2022,2,골목상권,2110980,개포지구대옆,0.1316224459976134,288599,186967,481269,175739
2022,2,발달상권,2120200,학동사거리,0.0924455733889043,761038,414203,987847,320749
2022,2,발달상권,2120187,신논현역,0.11384824639350205,1582811,1019682,2327173,790118
2022,2,발달상권,2120206,개나리아파트,0.09610287370795857,632063,299009,876596,259014
2022,2,발달상권,2120213,삼성중앙역,0.1046209352245852,927305,493182,1337613,401905
2022,2,발달상권,2120201,도곡1동,0.10352370466711788,511104,269385,729390,232467
2022,2,발달상권,2120211,도성초등학교,0.10523120334445453,545349,340127,749744,287915
2022,3,골목상권,2110958,역삼역 4번,0.08326302072630304,247602,110971,333656,79973
2022,3,골목상권,2110971,선정릉역 4번,0.10705392843489903,337213,171825,511166,166342
2022,3,골목상권,2110994,개포고등학교,0.11039884072505679,222832,114900,341483,129155
2022,3,골목상권,2110995,봉은사역 4번,0.1270488907729264,234347,139674,366722,142821
2022,3,발달상권,2120185,논현역,0.10731978019517036,1380763,791434,2038224,596294
2022,3,발달상권,2120197,역삼역,0.0787565934846072,2248095,950672,3065032,590282
2022,3,발달상권,2120208,청담사거리(청담동명품거리),0.1023277775337624,818078,431717,1154903,393272
2022,3,발달상권,2120213,삼성중앙역,0.10323806111814189,924419,483863,1322363,397063
2022,3,발달상권,2120221,봉은사역,0.07988716844516218,232174,99783,298126,80847
2022,3,발달상권,2120220,대치역,0.1048462904634345,272180,186038,356572,152991
2022,3,골목상권,2111002,한국교통안전공단 강남자동차검사소,0.06382978723404255,879,249,762,366
2022,3,골목상권,2110974,언주중학교,0.11686690965336845,294306,167969,467062,158761
2022,3,골목상권,2110957,언북중학교,0.09008516779139313,542245,244400,768958,190089
2022,3,골목상권,2110985,청담근린공원,0.10461012743193629,108444,55347,147643,49012
2022,3,골목상권,2110952,논현목련공원,0.12126112449534118,81257,48366,131753,50055
2022,3,발달상권,2120199,경복아파트교차로,0.0968057531304294,296135,146004,414766,118788
2022,3,발달상권,2120217,대치사거리,0.0998336081170632,680912,388020,969054,345312
2022,3,발달상권,2120216,경기고교사거리(경기고교앞사거리),0.08375499060893127,121505,52832,151672,43194
2022,3,발달상권,2120201,도곡1동,0.10365037785274109,506283,266695,724461,230673
2022,3,발달상권,2120211,도성초등학교,0.1045447677249299,535926,331641,735057,277514
2022,3,골목상권,2110965,언주역 6번,0.1039576316308304,455434,226194,646728,200321
2022,3,골목상권,2110996,대치2동주민센터,0.11579429986188083,410982,283489,618864,253570
2022,3,발달상권,2120210,선릉역,0.09567057062434484,2789239,1418730,3953403,1016770
2022,3,발달상권,2120190,강남을지병원,0.09294507607146409,840972,418386,1182322,326130
2022,3,발달상권,2120195,성수대교남단,0.10492516680537727,620372,369274,851031,283226
2022,3,발달상권,2120212,한티역,0.1093936747917894,550882,371395,745627,310275
2022,3,골목상권,2110976,언북초등학교,0.11500835985981159,354831,200445,543330,203093
2022,3,골목상권,2110963,역삼월드메르디앙아파트,0.12160409310369677,178335,104021,290197,98360
2022,3,골목상권,2110980,개포지구대옆,0.1330384102017648,277125,180434,464604,166974
2022,3,발달상권,2120187,신논현역,0.11251537762023535,1592230,1018388,2341298,763050
2022,3,발달상권,2120207,선정릉역,0.10272229059505401,900736,468496,1317829,393377
2022,3,발달상권,2120194,언주역(차병원),0.09449912924515216,944455,452431,1321901,365140
2022,3,전통시장,2130310,강남개포시장,0.09198137609932747,120938,68208,154025,58605
2022,3,골목상권,2110967,역삼역 8번,0.09992243197820527,338932,165172,492111,142171
2022,3,골목상권,2110960,은광여고,0.09730141759721232,53550,25974,75758,25258
2022,3,발달상권,2120215,포스코사거리,0.08450989774332142,1898677,814773,2595521,595761
2022,3,발달상권,2120223,휘문고교사거리,0.06748793193031384,148958,55474,184804,40375
2022,3,발달상권,2120193,도산공원교차로,0.08555153313519516,373144,177291,499557,129971
2022,3,발달상권,2120191,학동역,0.09505421334706318,1026301,499866,1443619,397627
2022,3,발달상권,2120196,서울세관,0.09712773661776254,433865,210658,622703,162983
2022,3,골목상권,2110984,포이초등학교(개포목련어린이공원),0.11521592866495253,447898,239580,777558,297033
2022,3,골목상권,2110989,대치동아우편취급국,0.0996618723496,340169,184657,505692,152935
2022,3,골목상권,2110983,국립국악고등학교,0.12480007940428738,200322,127105,322909,120394
2022,3,발달상권,2120192,뱅뱅사거리,0.09856818090214048,927964,453441,1325450,336840
2022,3,발달상권,2120224,수서역,0.10174690302958324,106179,53253,151885,41774
2022,3,발달상권,2120206,개나리아파트,0.09615984730004758,616032,290559,850415,248735
2022,3,발달상권,2120202,압구정로데오역(압구정로데오),0.10759089322558839,1233716,751406,1688795,574576
2022,3,발달상권,2120204,르네상스호텔사거리,0.09166445896518674,843859,379952,1180269,261654
2022,3,발달상권,2120205,매봉역,0.09672027772880758,332053,169095,461974,127953
2022,3,관광특구,1001496,강남 마이스 관광특구,0.05767031096214721,75459,30560,86121,26661
2022,3,골목상권,2110977,논현로18길,0.12026432639290668,69849,40405,108091,35367
2022,3,골목상권,2110982,강남구보훈회관,0.11730835799501728,91950,52923,146751,58360
2022,3,골목상권,2110961,언주역 3번,0.10498591121858836,544903,273467,804273,236979
2022,3,골목상권,2110959,신구중학교,0.08971436108075517,61558,30519,80326,25824
2022,3,골목상권,2110949,한남IC,0.1057169804078544,186469,111335,271088,93650
2022,3,골목상권,2110992,도곡초등학교,0.12631557245073477,890533,644730,1402404,634731
2022,3,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",0.10157433309158366,328912,177701,466526,141541
2022,3,발달상권,2120219,은마아파트,0.11250499747953206,569122,418124,779388,371190
2022,3,발달상권,2120186,가로수길,0.10132198086631716,1216611,764343,1724749,584059
2022,3,발달상권,2120198,구역삼세무서,0.10629647427164506,1031750,533270,1561352,457238
2022,3,발달상권,2120214,영동대교남단교차로,0.0944591276605727,148521,72498,198003,57770
2022,3,골목상권,2110955,논현초등학교,0.11505494738990754,1360805,764391,2107111,763727
2022,3,골목상권,2110997,대청초등학교,0.13172384536968298,813924,543226,1333179,514944
2022,3,골목상권,2110999,윗방죽마을공원,0.13738104248132418,31362,21535,51534,19815
2022,3,골목상권,2110975,매봉역 1번,0.10723256338787725,176847,101701,254477,86717
2022,3,골목상권,2110951,신사은행나무공원,0.12014664347305613,261498,161498,405866,128764
2022,3,발달상권,2120200,학동사거리,0.09205040977516295,730297,393237,953724,297939
2022,3,발달상권,2120203,강남구청역,0.09728502130404057,890900,466248,1276455,326763
