매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,area,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
276866.1698,2020,골목상권,2110971,선정릉역 4번,0,0,1,0,0,0,0,1,133221,0.6005059262,287.9425916335,182.0283588924,115.7475172833,9.7582213014,3.077592872,61.176541236,41.2847824292,9.6080948199,3.0025296312,2.0267075011,2.7022766681,67121.4748425549,9357.833975124,10033.5532686288,10154.2549598036,10008.9325256529,10224.8144061372,9996.4720276833,8489.3522792953,8214.3205650761,0.5254426855,0.0750632408,0.0750632408,0.0,0.3002529631,4056.1923420482,15698.0506076369,18797.5619459395,12206.5590259794,7545.6572162047,8817.4537047462,24.9209959391,6.7556916702,136.8402879426,92.4779126414,29.8751698306,15.9884702862,10.2836639869,41.9603515962,0.0,0.0,0.0,0.0
127720.5471,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,0,0,1,0,0,0,0,1,46603,0.6437353818,428.0840289252,217.3679806021,563.9121944939,12.0163937944,0.4291569212,53.6446151535,26.3931506555,38.6241229105,13.3038645581,2.3603630668,0.4291569212,48883.1191125035,5975.5809711821,7206.4030212647,7233.2253288415,7142.0294830805,7212.6257966225,7007.9179451967,6462.6740767762,6618.2434607214,0.4291569212,0.0,0.0,0.0,0.0,6378.3447417548,8728.4080424007,10478.7245456301,9008.8620904234,6394.6527047615,7894.3415659936,43.1302705834,9.2268738064,184.5374761281,132.1803317383,92.6978949853,52.1425659292,22.5307383645,256.2066819733,0.0,0.0,0.0,0.0
140667.4475,2020,골목상권,2110974,언주중학교,0,0,1,0,0,0,0,1,35150,1.706970128,420.7681365576,219.0611664296,83.0725462304,16.2162162162,1.706970128,58.6059743954,47.226173542,12.2332859175,5.4054054054,2.8449502134,24.1820768137,211405.120910384,27683.6415362731,30805.1209103841,31082.7880512091,30823.3285917496,31593.1721194879,30909.8150782361,28257.4679943101,27933.1436699858,0.5689900427,0.0,0.0,0.0,0.0,31132.2901849218,37105.5476529161,48208.8193456615,40650.9246088193,23077.0981507824,31230.7254623044,57.7524893314,9.1038406828,228.4495021337,173.2574679943,50.640113798,23.8975817923,11.9487908962,496.1593172119,0.0,0.0,0.0,0.0
302231.9764,2020,골목상권,2110975,매봉역 1번,0,0,1,0,0,0,0,1,52363,1.1458472586,180.2799686802,68.9418100567,2069.5911235032,4.7743635773,0.3819490862,4.2014399481,8.7848289823,3.2465672326,1.7187708878,4.5833890342,24.8266906021,54439.9671523786,7810.6678379772,7833.5847831484,7933.4644691863,7803.6017798827,7862.9948627848,7923.5337929454,7533.1818268625,7550.1785611978,2.100719974,0.0,0.0,0.0,0.0,5315.0125088326,9852.3766781888,8839.6386761645,8302.4272864427,9454.5767049252,12676.317246911,11.4584725856,7.2570326375,10.6945744132,11.8404216718,8.4028798961,6.8750835514,9.5487271547,328.6671886638,8124.2480377366,33366.6902201936,0.5729236293,0.1909745431
83123.4221,2020,골목상권,2110976,언북초등학교,0,0,1,0,0,0,0,1,55724,1.0767353385,360.8857942718,187.7108606704,103.7255042711,9.3317062666,0.0,17.7661330845,23.8676333357,13.4591917307,16.5099418563,8.2549709281,5.563132582,152473.7994400976,23723.7097121528,21542.6028282248,22805.2544684517,22834.5057784796,23028.8565070706,23178.5227191156,20783.8633263944,18299.8349005814,0.3589117795,0.0,0.0,0.0,0.0,14523.9035245137,29320.4005455459,35956.3204364367,29786.9858588759,18915.1891465078,23970.9999282176,22.0730744383,3.9480295743,64.6041203072,43.4283253176,61.9122819611,35.3528102792,22.252530328,279.4128203288,0.0,0.0,0.0,0.0
70474.76449,2020,골목상권,2110977,논현로18길,0,0,1,0,0,0,0,1,17287,5.2062243304,408.9778446231,193.7872389657,85.6134667669,8.0985711807,1.7354081101,20.2464279516,32.3942847226,8.0985711807,0.0,0.0,0.0,77916.9317984613,10831.8389541274,11394.689651183,11536.9931162145,11490.1370972407,11792.6765777752,11801.932087696,10188.0025452652,9712.5007230867,0.0,0.0,0.0,0.0,0.0,10156.7651992827,10838.2021171979,14444.38017007,14608.6654711633,12610.6322670215,15257.7081043559,111.066119049,36.443570313,334.3552958871,410.1347833632,263.2035633713,20.8248973217,28.9234685023,11.5693874009,0.0,0.0,0.0,0.0
79983.59058,2020,골목상권,2110980,개포지구대옆,0,0,1,0,0,0,0,1,85827,0.3495403544,315.4019131509,129.7959849465,77.2484183299,8.7385088608,1.6311883207,18.0595849791,27.7302014518,21.9045288779,2.3302690296,5.7091591224,1.7477017722,60828.9932072658,7633.3787735794,9075.1162221678,9092.2436995351,8994.8384540995,8967.2247660992,8877.7424353642,7877.1249140713,7944.81922938,0.233026903,0.0,0.0,0.0,0.0,9200.9507497641,7984.3172894311,9455.183100889,11150.6868467965,10069.9080708868,12967.9471494984,23.1861768441,6.1752129283,65.7135866336,80.1612546168,45.9062998823,8.3889685064,6.7577801857,51.8484859077,0.0,0.0,0.0,0.0
171545.378,2020,골목상권,2110981,국악고교사거리,0,0,1,0,0,0,0,1,67409,1.3351332908,312.2728419054,129.9529736385,53.5536797757,7.714103458,2.0768740079,18.9885623581,34.4167692741,22.6972659437,1.7801777211,0.5933925737,0.0,77163.731845896,9749.1432894717,11205.1803171683,11075.6723879601,11032.2063819371,11226.9874942515,11115.4296903974,10758.3557091783,10749.7515168598,1.038437004,0.0,0.0,0.0,0.0,12115.2961770683,9369.2236941655,14248.8391757777,14222.1365099616,12687.0299218205,14521.2063671023,44.6527911703,12.9062884778,156.6556394547,168.8201872154,97.4647302289,13.7963773383,4.3020961593,0.5933925737,1579.4626830245,0.0,0.5933925737,0.0
36007.04348,2020,골목상권,2110982,강남구보훈회관,0,0,1,0,0,0,0,1,19865,0.5033979361,421.3440724893,205.889755852,83.5640573874,11.5781525296,3.0203876164,53.8635791593,30.7072741002,8.0543669771,18.1223256985,40.7752328215,270.3246916688,109516.7379813743,13248.9302793859,15741.7568587969,15333.5011326454,15425.6229549459,15395.4190787818,15346.5894789831,15928.5174930783,16346.3377800151,0.5033979361,0.0,0.0,0.0,0.5033979361,25456.8336269821,12178.2028693682,18988.6735464385,24595.519758369,11231.8147495595,17064.6866347848,49.8363956708,15.6053360181,213.9441228291,127.3596778253,50.8431915429,46.8160080544,130.8834633778,1467.9083815756,0.0,0.0,0.0,0.0
773746.5797,2020,골목상권,2110983,국립국악고등학교,0,0,1,0,0,0,0,1,56041,0.5353223533,506.0580646313,224.3000660231,139.7191342053,11.5986509877,1.7844078443,33.9037490409,39.7922949269,21.5913349155,7.8513945147,1.6059670598,0.8922039221,74909.441301904,8521.6181010332,10894.1667707571,10875.4304883924,10887.5644617334,10884.887849967,10763.7265573419,10349.5654966899,10254.2781178066,0.7137631377,0.1784407844,0.0,0.0,0.0,15094.1275137846,9513.2135400867,9741.0824217983,12857.9076033618,12922.1462857551,14781.1423779019,41.3982619868,9.8142431434,117.770917721,146.8567655823,94.2167341768,12.1339733409,8.5651576524,13.2046180475,0.0,0.0,0.0,0.0
