매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,area,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
195984.8646,2021,발달상권,2120210,선릉역,0,0,0,0,0,0,0,1,360433,2.4415078531,132.6182674727,92.638576379,1353.372194,2.6079742976,0.6936101855,18.9494302686,20.4198838619,2.8021851495,3.2183512608,0.9155654449,0.527143741,121664.9973781535,10816.4624215874,18378.4226194605,19061.7118854267,19239.9697031071,19954.2217277552,19390.3443913293,13670.77931266,11969.5199940072,4.1616611132,0.0277444074,0.3051884816,0.0,0.0,14683.5334167515,21513.0967475231,28966.4098459353,24589.5076200015,16418.7241456803,15493.6701134469,2974.5611528356,16968.4518343215,0.1664664445,0.0277444074
139787.6971,2021,발달상권,2120211,도성초등학교,0,0,0,0,0,0,0,1,72437,2.0707649406,226.1275315101,100.2250231235,135.8421801013,3.1751729089,0.4141529881,8.9733147425,7.178651794,4.1415298811,7.8689067742,6.9025498019,11.1821306791,134974.1154382429,13703.6321217058,18738.0758452172,19188.1220923009,19522.2055027127,19690.4896668829,19765.7274597236,20222.124052625,17847.5088697765,3.727376893,0.0,0.138050996,0.0,0.0,41067.8244543534,16558.2506177782,17526.1261510002,26224.4433093585,16880.4616425308,16717.2853652139,5520.245178569,0.0,0.5522039842,0.0
112315.4525,2021,발달상권,2120212,한티역,0,0,0,0,0,0,0,1,112734,1.6853832916,131.3711923643,60.4963897316,63.2462256285,1.7740876754,0.0,2.5724271293,6.4754200153,3.8142885021,1.153156989,1.5079745241,9.2252559121,92295.0485212979,10304.2560363333,12674.2597619174,12792.768818635,13106.5162240318,13081.4128834247,13368.6376780741,14341.6360636543,12929.9945003282,5.1448542587,0.0887043838,0.5322263026,0.0887043838,0.0,32458.619404971,9457.9275107776,8861.39052992,18898.5576667199,11796.5298845069,10822.0235244026,12178.4909610233,19169.1060372204,0.3548175351,0.0887043838
174444.8053,2021,발달상권,2120213,삼성중앙역,0,0,0,0,0,0,0,1,228925,1.4852025773,178.835863274,100.644315824,370.077536311,3.9314185869,0.5678715737,20.7491536529,9.5664518947,3.9751010156,1.878344436,1.1357431473,9.3043573223,66046.91492847,6788.5988860981,9814.3933602708,10094.2229987987,10174.3802555422,10467.6203996942,10141.1379272688,7871.486294638,7483.5863273998,1.7909795785,0.0873648575,0.1310472862,0.0,0.0,5537.44676204,11356.5141421863,16186.2181937316,14996.9640712024,8663.0555858906,9306.6724909905,1840.9085945179,2564.0712023589,0.1310472862,0.0436824287
279942.1884,2021,발달상권,2120214,영동대교남단교차로,0,0,0,0,0,0,0,1,89135,1.682840635,85.3761148819,36.0127895888,447.6356089078,0.8975150053,0.0,0.0,1.7950300107,0.0,0.0,1.346272508,22.4378751332,28233.4660907612,2541.5381163404,4225.1640769619,4328.0417344477,4402.6476692657,4495.6526616929,4504.6278117462,3401.1331126942,2875.9746452011,1.2340831323,0.0,0.1121893757,0.0,0.0,2772.6482302126,4253.2114208784,6449.0940707915,5641.1061872441,4292.2533236103,4825.1528580243,4360.1278958883,0.0,0.2243787513,0.0
132217.8068,2021,발달상권,2120215,포스코사거리,0,0,0,0,0,0,0,1,318625,2.0714005492,110.2550019616,69.8940761083,1935.0647312672,0.9101608474,0.0,3.6406433896,19.803844645,4.1428010985,5.9631227933,1.2240094155,8.9132993331,88152.0910160847,7767.2499019223,13656.963515104,14141.5457041977,14245.3668105139,14771.0317771675,14060.4472342095,9007.4225186348,8269.3448411142,2.8874068262,0.0,0.5335425657,0.0,0.0,9245.3825029423,15492.1930168694,22841.710474696,19867.0537465673,11570.8434680267,9134.9391918399,1782.5657120439,0.0,0.2196939976,0.0
57794.3734,2021,발달상권,2120216,경기고교사거리(경기고교앞사거리),0,0,0,0,0,0,0,1,71694,2.3711886629,30.4070075599,21.0617345942,688.2026389935,0.1394816861,0.0,0.0,0.0,0.0,0.0,0.0,1.6737802327,26587.4410689876,2200.8815242559,3956.5375066254,4067.983373783,4162.8309203002,4239.4063659442,4252.0991993751,3277.6801405975,2631.1825257344,4.3239322677,0.0,0.5579267442,0.0,0.0,2808.0453036516,3754.4285435322,5821.9655759199,5241.3033168745,3961.8378106955,4999.8605183139,6274.4441654811,0.0,0.6974084303,0.0
145799.8489,2021,발달상권,2120217,대치사거리,0,0,0,0,0,0,0,1,159410,1.3173577567,237.6889781068,126.4036133241,174.3303431403,6.3985948184,1.8819396525,18.7566652029,14.6163979675,14.490935324,5.5203563139,2.4465215482,3.5756853397,81996.1733893733,8779.5621353742,11879.6185935638,12137.5070572737,12200.9284235619,12317.4204880497,12096.8571607804,11011.981682454,10351.9227150116,0.6900445392,0.0,0.1254626435,0.0,0.0,24139.3889969262,10697.4468352048,12322.1880685026,15097.7353992849,10577.1281600903,9162.2859293645,2688.3507935512,0.0,0.3136566087,0.0
21348.4063,2021,발달상권,2120218,코엑스,0,0,0,0,0,0,0,1,145396,1.9945528075,1.9257751245,1.1692206113,19.9455280751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.1866351206,148.2846845855,387.8373545352,406.4761066329,413.2850972516,438.7328399681,433.5057360588,322.4297779856,281.8509450054,1.5131090264,0.0,0.4126660981,0.0,0.0,170.2247654681,568.1036617238,731.7257696223,603.1115023797,335.1536493439,275.9360642659,2147.5143745358,0.0,0.2063330491,0.0
223765.0524,2021,발달상권,2120219,은마아파트,0,0,0,0,0,0,0,1,149660,2.6059067219,69.4240277963,27.9299746091,1146.6657757584,1.2027261793,0.0,0.2004543632,1.5368167847,1.7372711479,0.6013630897,1.2695443004,8.8199919818,74476.680475745,8208.4725377522,10214.8870773754,10037.2845115595,10337.1642389416,10359.080582654,10412.4014432714,12118.7358011493,10997.1268207938,3.8086329012,0.0,0.4009087264,0.0,0.0,30696.8461846853,8257.5838567419,6094.7480956836,12341.2401443271,8945.6100494454,8140.7189629828,12131.6985166377,0.0,0.4009087264,0.0
130767.1718,2021,발달상권,2120220,대치역,0,0,0,0,0,0,0,1,163253,1.5926200437,50.9025867825,15.619927352,341.6782539984,0.1837638512,0.0,0.0,0.0,0.0,0.0,0.0,12.9859788182,30795.3912026119,3277.36703154,4299.461571916,4393.8549368159,4331.0689543224,4439.1833534453,4437.6519880186,4771.7346695007,4122.435728593,4.4103324288,0.0612546171,0.4900369365,0.0,0.0,11344.9676269349,2754.8038933435,2406.0201037653,5927.4867843164,3902.5929079404,4459.6423955456,5466.8520639743,11759.7226390939,0.3062730853,0.0612546171
103943.6054,2021,발달상권,2120221,봉은사역,0,0,0,0,0,0,0,1,124925,1.6009605763,55.4732839704,39.1434860917,1561.9771863118,0.5603362017,0.0,0.4002401441,3.3620172103,1.0406243746,1.4408645187,1.6810086052,6.2437462477,29310.4662797679,2564.3386031619,4430.4982989794,4651.9911947168,4589.6337802682,4763.8983390034,4621.9731839103,3223.6141685011,3028.697218331,2.641584951,0.1600960576,0.4802881729,0.0,0.0,3481.0486291775,4691.775065039,6571.4628777266,6228.7772663598,3868.561136682,4468.8413047829,7043.4260556334,10822.8937362417,0.4802881729,0.0800480288
91808.83403,2021,발달상권,2120222,삼성역,0,0,0,0,0,0,0,1,356336,1.4592968434,20.935297023,14.2562076243,1215.8187777828,0.2245072067,0.0,0.0561268017,0.0841902025,1.0383458309,0.505141215,0.2245072067,0.8699654259,23182.5019083113,1497.715639172,3713.9385299268,3881.5892865161,3873.1141394639,4090.7738763414,3872.8896322572,2065.5504916708,1684.5617619326,2.4695792735,0.0841902025,0.4209510125,0.0280634008,0.0,2174.5487405146,4537.2625836289,6253.1150374927,4948.0265816533,2905.207444659,2364.3695837636,6329.8965021777,11269.4760001796,0.33676081,0.0280634008
22550.11232,2021,발달상권,2120223,휘문고교사거리,0,0,0,0,0,0,0,1,133569,0.4492060283,23.1341104598,8.3103115244,686.2370759682,0.6738090425,0.0,0.0,0.6738090425,1.347618085,1.4973534278,0.1497353428,2.5455008273,15167.7410177511,1039.8370879471,2406.845899872,2490.5479564869,2496.0881641698,2610.111627698,2461.5741676587,1458.1976356789,1244.5253015295,0.6738090425,0.0,0.0,0.0,0.0,2386.6316285965,2448.2477221511,3492.8014733958,3240.7968914943,1956.8163271418,1642.4469749717,3119.8107345267,0.0,0.374338357,0.0
352699.3525,2021,발달상권,2120224,수서역,0,0,0,0,0,0,0,1,60183,3.4893574597,98.6989681472,72.6118671386,2063.3733778642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31313.1615240184,3129.6213216357,4785.2383563465,4835.7509595733,4831.7631224764,4918.8308990911,4936.4438462689,3680.1090008806,3324.8591795025,6.6463951614,0.0,0.4984796371,0.0,0.0,3155.0437831281,3439.5094960371,5073.8580662313,5334.0644368011,4707.4755329578,9602.8778891049,11386.6041905522,55553.7277968862,0.9969592742,0.166159879
113040.9022,2021,전통시장,2130303,영동전통시장,0,0,0,0,0,0,0,1,39097,0.7673223009,292.0940225593,186.203545029,61.8973322761,4.859707906,0.0,33.2506330409,18.4157352227,4.859707906,2.8135151035,0.0,0.5115482006,93483.1316980843,10678.057139934,13578.5354375016,13815.1264802926,13957.0811059672,14401.616492314,14373.7371153797,12534.7213341177,10822.0579584111,1.2788705016,0.0,0.0,0.0,0.0,4279.6122464639,20967.3376473898,23803.6166457784,18249.9936056475,11867.6624804972,14314.9090723073,0.0,0.0,0.0,0.0
184209.7101,2021,전통시장,2130310,강남개포시장,0,0,0,0,0,0,0,1,25363,3.5484761266,44.1588140204,32.7248353901,117.4939873043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73496.8260852423,6468.4777037417,10307.5345976422,10348.9334857864,10641.8799037969,10653.7081575523,10989.6305642077,10690.3757441943,9865.1579071876,11.8282537555,0.0,1.1828253755,0.0,0.0,16438.5127942278,7545.2430706147,7760.5172889642,13579.6238615306,11555.8096439696,16618.302251311,4529.4326380949,17446.6742893191,0.7885502504,0.3942751252
185489.9656,2021,관광특구,1001496,강남 마이스 관광특구,0,0,0,0,0,0,0,1,237891,0.5044327024,1.2190456974,0.7566490536,668.5414748771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3537.0821090331,199.1668453199,522.2139551307,547.2674460152,553.9511793216,588.1685309659,575.9360379333,403.1678373709,346.5452665296,1.4292259901,0.0420360585,0.3362884682,0.0420360585,0.0,223.1273986826,751.73083471,979.9025604163,787.3353762858,438.1418380687,356.8861369283,2772.4041682956,0.0,0.2101802927,0.0
222044.4611,2021,발달상권,2120185,논현역,0,0,0,0,0,0,0,0,321182,1.4944797654,117.3166615813,75.5957681315,397.4070776071,1.6501547409,0.0934049853,8.063963734,12.6719430105,5.0438692081,1.8369647116,0.7472398827,2.3973946236,79642.8193360774,8396.3920767664,11754.5815145307,12405.9878822599,12464.2414581141,12449.6080104115,12260.7742650584,9729.87278241,8577.7222882976,3.2691744867,0.0311349951,0.2179449658,0.0,0.0,4389.9409057793,16703.5823925376,20696.5832456364,15799.1730545298,10423.8095534619,11629.6990491372,1128.8303827736,9606.796146733,0.0934049853,0.0311349951
202947.4239,2021,발달상권,2120186,가로수길,0,0,0,0,0,0,0,0,256687,1.0518647224,122.7954668526,69.2282819153,253.9279355791,2.4153930663,0.0,5.999524713,5.4541133754,4.2464168423,2.8828884984,1.9089396814,3.7789214101,82836.1779131783,8246.619423656,11727.434579858,12271.910926537,12304.2849852155,12478.7776552767,12794.9603992411,11519.1264068691,9739.7219181338,1.6362340126,0.0779159054,0.1558318107,0.0,0.0,8850.7793538434,19538.2703448168,19158.3134323125,14748.3900626054,9166.0660648962,11374.3196967513,3251.9761421498,0.0,0.0779159054,0.0
