기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,시간대6,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,직장인구비율,area,면적당편의점수(10000제곱미터),상주인구비율,시간대_1_비율,시간대_2_비율,시간대_3_비율,시간대_4_비율,시간대_5_비율,시간대_6_비율,월요일_비율,화요일_비율,수요일_비율,목요일_비율,금요일_비율,토요일_비율,일요일_비율,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수
2020,1,골목상권,2110980,개포지구대옆,3,60238.17216,90838.10623,55918.30769,60762.5348,148005.4982,120885.7509,2707,1114,663,75,14,155,238,188,20,49,15,638433,164104,133943,80409,79642,101461,78874,93804,94415,94167,94078,94506,84395,83067,2,0,0,0,0,0.0010384801537514,85827,0.349540354,0.00424006904405,25.70418509068297,20.97996187540431,12.594743692760243,12.47460579262037,15.892192289558968,12.354311258973144,14.692849523755822,14.788552596748602,14.749707486925018,14.735767104770586,14.802806245917738,13.219084853069935,13.011075555304942,101175,77272,96799,115561,101746,145882,199.0,53.0,564.0,688.0,394.0,72.0,58.0,445.0
2020,1,골목상권,2110981,국악고교사거리,9,111115.7399,158394.188,150392.2405,143726.7802,266227.0574,163615.4286,2105,876,361,52,14,128,232,153,12,4,0,524293,147995,108868,65244,61052,78078,63057,76615,75931,76300,75494,73664,72364,73925,7,0,0,0,0,0.0006885462899561,67409,1.335133291,0.0040149305827085,28.227536892539096,20.76472506785328,12.444186742909022,11.644633821164884,14.892054633573212,12.027053575004816,14.61301218974886,14.482550787441372,14.552931280791464,14.399200447078256,14.050158975992431,13.80220601839048,14.099940300557131,76468,67685,101126,98072,83479,97465,301.0,87.0,1056.0,1138.0,657.0,93.0,29.0,4.0
2020,1,골목상권,2110983,국립국악고등학교,3,107218.8132,390314.6117,567679.3187,594502.3993,907703.0842,625158.7546,2836,1257,783,65,10,190,223,121,44,9,5,528604,142178,110491,62355,61806,83707,68065,76035,76014,76993,76626,76814,73242,72878,4,1,0,0,0,0.0014812600737035,56041,0.535322353,0.005365074800796,26.896883110986675,20.902414662015424,11.796164993076102,11.692306528138266,15.835483651277704,12.876368699442306,14.38411362759268,14.380140899425657,14.565345703021542,14.495917548864556,14.531482924835984,13.855740781378875,13.786880159817178,105566,60859,69843,91483,88112,112739,232.0,55.0,660.0,823.0,528.0,68.0,48.0,74.0
2020,1,골목상권,2110984,포이초등학교(개포목련어린이공원),12,68735.03755,101412.8407,113742.6658,94310.20055,222610.6126,130278.6932,4522,1948,1556,107,30,399,353,203,44,16,34,964524,326912,223397,106735,90677,110388,106415,138404,140210,139458,138293,138107,133935,136115,14,0,0,0,1,0.0016132309823291,137097,0.875292676,0.0046883229447893,33.89360969763324,23.161372863713087,11.066080263425276,9.40121759541494,11.444816303171306,11.032903276642156,14.349461496033278,14.5367041151905,14.45873819625017,14.337953228742885,14.318669105175196,13.886124139990295,14.112142362450284,172015,103226,171060,166655,146894,204674,246.0,56.0,864.0,884.0,564.0,117.0,32.0,198.0
2020,1,골목상권,2110985,청담근린공원,3,198378.8095,158691.7729,160605.4799,193056.0733,309029.4139,246867.4066,980,472,1338,27,0,21,42,45,27,6,98,318301,69924,67524,46330,45806,53178,35539,46000,47310,46863,47853,47158,42697,40422,1,0,0,0,0,0.0042035683205519,43265,0.693401133,0.0030788467519737,21.967885743368697,21.21388245717104,14.555405103973913,14.39078105315409,16.706827813924555,11.165217828407702,14.451729652121733,14.863289779171287,14.722856667116972,15.033883022673509,14.815536237712102,13.414032629492208,12.699300347784014,24402,46820,71736,60169,45094,70082,71.0,0.0,34.0,160.0,103.0,60.0,74.0,1718.0
2020,1,골목상권,2110988,청담역 3번,3,52457.19414,104375.3333,80834.46886,96345.45421,199656.3773,171149.8132,1340,480,1594,19,0,0,4,5,19,12,305,198220,36951,44211,29563,29582,35763,22151,28256,28951,28512,28957,28640,27983,26922,5,0,0,0,0,0.0080415699727575,79185,0.378859633,0.006760165472707,18.64140853597013,22.30400565028756,14.914236706689538,14.923822015941882,18.04207446271819,11.174957118353344,14.25486832812027,14.60548885077187,14.384017758046616,14.608515790535767,14.448592473009786,14.117142568862882,13.58187872061346,25339,25221,36223,36393,28879,46166,51.0,2.0,43.0,114.0,20.0,33.0,98.0,1634.0
2020,1,골목상권,2110989,대치동아우편취급국,9,86405.76557,74658.58364,62596.08181,68563.50305,153502.9805,96853.35653,1575,908,444,59,2,306,232,96,26,6,3,632935,133641,127283,97892,95799,112143,66178,96064,96570,96174,97714,94603,77560,74250,7,2,0,0,3,0.0007014938342799,40587,2.217458792,0.002488407182412,21.11449042950698,20.109963898346592,15.466359104805392,15.135677439231518,17.717933121094585,10.455734001121758,15.177545877538767,15.257490895589596,15.194925229288948,15.438236153791465,14.946716487475015,12.254022924944898,11.73106243137131,108311,103648,131310,125545,82066,82054,267.0,23.0,1531.0,1214.0,598.0,358.0,72.0,581.0
2020,1,골목상권,2110992,도곡초등학교,18,78996.98535,93698.17949,99126.92125,102729.3474,195870.779,145691.0281,8040,3724,2179,203,18,727,607,317,115,78,65,1847671,519625,375913,206037,205844,298234,242017,260726,261566,259118,260243,255881,270556,279578,8,2,0,0,1,0.0011793225092562,138866,1.296213616,0.004351424035989,28.123242720159595,20.3452346223976,11.151173558496074,11.14072797592212,16.14107706404441,13.098489936790694,14.111061980190197,14.15652461937217,14.024033499470416,14.08492096266056,13.848839972051302,14.643083102998316,15.131373496688532,623887,211500,209506,350268,226208,226301,438.0,39.0,1437.0,1175.0,703.0,299.0,289.0,2447.0
2020,1,골목상권,2110994,개포고등학교,6,47709.76923,61278.80769,52969.52198,55491.32601,80012.68132,77761.60256,1706,744,494,54,3,101,106,56,31,2,22,586961,196928,123171,58940,56407,76448,75067,85369,83868,82690,83148,82787,84150,84948,17,1,0,0,4,0.0008416232083562,61589,0.974199938,0.0029064963430279,33.55044031886275,20.98452878470631,10.04155301629921,9.610008160678476,13.024374702918934,12.789095016534318,14.544237181005212,14.288513206158502,14.087818441088933,14.16584747538593,14.104344240929128,14.336557284044426,14.472511802317358,98679,63375,73532,94152,92077,165147,56.0,3.0,101.0,106.0,56.0,31.0,2.0,1998.0
2020,1,골목상권,2110995,봉은사역 4번,3,35593.65568,67821.78022,85705.6337,102417.9744,183339.0073,141614.7106,2888,1115,5085,70,1,58,47,25,43,75,644,561116,148306,126639,67200,64885,84452,69638,82154,81880,81035,81274,80892,76945,76938,7,0,0,0,0,0.009062297278994,122756,0.24438724,0.0051468858489153,26.430541991317305,22.569130090747723,11.976133277254611,11.563562614503953,15.050720350159324,12.410624541093108,14.64117936398178,14.592348106273926,14.44175535896321,14.484349047255826,14.416270432495242,13.712850818725538,13.711603304842493,95703,68285,99025,106315,82276,109511,130.0,1.0,90.0,128.0,75.0,121.0,137.0,3153.0
