매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
52457.19414,2020,골목상권,2110988,청담역 3번,3,1,0,0,0,0,1,0,0,1340,480,1594,19,0,0,4,5,19,12,305,198220,36951,28256,28951,28512,28957,28640,27983,26922,5,0,0,0,0,79185,25339,25221,36223,36393,28879,46166,51.0,2.0,43.0,114.0,20.0,33.0,98.0,1634.0,0,30923,0,1
86405.76557,2020,골목상권,2110989,대치동아우편취급국,9,1,0,0,0,0,1,0,0,1575,908,444,59,2,306,232,96,26,6,3,632935,133641,96064,96570,96174,97714,94603,77560,74250,7,2,0,0,3,40587,108311,103648,131310,125545,82066,82054,267.0,23.0,1531.0,1214.0,598.0,358.0,72.0,581.0,0,0,0,0
78996.98535,2020,골목상권,2110992,도곡초등학교,18,1,0,0,0,0,1,0,0,8040,3724,2179,203,18,727,607,317,115,78,65,1847671,519625,260726,261566,259118,260243,255881,270556,279578,8,2,0,0,1,138866,623887,211500,209506,350268,226208,226301,438.0,39.0,1437.0,1175.0,703.0,299.0,289.0,2447.0,0,0,0,0
47709.76923,2020,골목상권,2110994,개포고등학교,6,1,0,0,0,0,1,0,0,1706,744,494,54,3,101,106,56,31,2,22,586961,196928,85369,83868,82690,83148,82787,84150,84948,17,1,0,0,4,61589,98679,63375,73532,94152,92077,165147,56.0,3.0,101.0,106.0,56.0,31.0,2.0,1998.0,0,0,0,0
35593.65568,2020,골목상권,2110995,봉은사역 4번,3,1,0,0,0,0,1,0,0,2888,1115,5085,70,1,58,47,25,43,75,644,561116,148306,82154,81880,81035,81274,80892,76945,76938,7,0,0,0,0,122756,95703,68285,99025,106315,82276,109511,130.0,1.0,90.0,128.0,75.0,121.0,137.0,3153.0,0,0,1,0
52810.58608,2020,골목상권,2110996,대치2동주민센터,3,1,0,0,0,0,1,0,0,1545,729,1959,92,0,39,67,112,103,152,254,731331,156870,107458,108557,106690,107447,105097,98474,97606,4,1,0,0,0,112840,266504,71498,74211,142146,92843,84130,213.0,11.0,283.0,411.0,292.0,187.0,251.0,3437.0,3,0,1,0
188701.8599,2020,골목상권,2110997,대청초등학교,24,1,0,0,0,0,1,0,0,7401,3439,1724,121,1,177,379,105,30,36,11,2698325,899751,385285,391674,389970,389547,384695,377073,380080,51,0,2,0,6,236963,401391,354293,377614,391528,431727,741771,159.0,1.0,280.0,990.0,573.0,399.0,272.0,876.0,7721,0,13,0
222523.3993,2020,골목상권,2110999,윗방죽마을공원,6,1,0,0,0,0,1,0,0,3125,2339,268,2,0,1,9,6,1,0,0,115083,31529,16096,16156,16262,16229,16054,16999,17289,4,0,1,0,0,239796,16364,18247,26692,20549,13928,19301,13.0,0.0,1.0,50.0,193.0,286.0,393.0,1363.0,3133,0,4,0
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),3,1,0,0,0,0,1,0,0,458,199,39,0,0,0,0,0,0,0,0,63437,3537,9166,9195,9218,9061,9321,9208,8271,5,0,0,0,0,52892,18340,4909,6685,8753,7883,16869,3.0,0.0,0.0,41.0,118.0,222.0,298.0,222.0,603,0,1,0
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,3,1,0,0,0,0,1,0,0,317,0,317,0,0,0,0,0,0,0,0,210,0,24,6,12,0,12,84,72,3,0,0,0,0,59240,69,0,0,0,0,141,174.37249999999997,22.3,594.38,614.1699999999998,292.83,149.0925,99.8325,1085.5625,570,0,1,0
